,ARSUSD,COPUSD,CLPUSD,Net trade in goods (value)_Colombia,Net trade in goods (value)_Chile,Net trade in goods (value)_United States,Net trade in goods (value)_Argentina,Exports in goods (value)_Colombia,Exports in goods (value)_Chile,Exports in goods (value)_United States,Exports in goods (value)_Argentina,Imports in goods (value)_Colombia,Imports in goods (value)_Chile,Imports in goods (value)_United States,Imports in goods (value)_Argentina,Insured Unemployment Rate,Chicago Fed National Financial Conditions Index,Federal Funds Effective Rate,Equity Market-related Economic Uncertainty Index,Economic Policy Uncertainty Index for United States,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average,Consumer Price Index: All items: Total: Total for Argentina,U.S. Exports of Goods by F.A.S. Basis to Argentina,U.S. Imports of Goods by Customs Basis from Argentina,Consumer Price Index: All Items: Total: Total for Chile,Unemployment Rate: Aged 15 and over: All Persons for Chile,U.S. Exports of Goods by F.A.S. Basis to Chile,U.S. Imports of Goods by Customs Basis from Chile,Consumer Price Index: All items: Total: Total for Colombia,Unemployment Rate: Aged 15 and over: All Persons for Colombia,U.S. Exports of Goods by F.A.S. Basis to Colombia,GDP_United States,GDP_Argentina,GDP_Chile,GDP_Colombia,Interest Rate_Columbia,Interest Rate_Chile,Interest Rate_Argentina,SP500,VIX,Merval,BBG_Comm_Index,BBG_Agriculture_Index,BBG_Aluminum_Index,BBG_Soybeans_Index,BBG_SoybeansOil_Index,BBG_Copper_Index,BBG_Coffee_Index,BBG_Cocoa_Index,Crude Oil Commodity,Brent Crude Commodity,US GBond 1M,US GBond 6M,US GBond 1Y,US GBond 2Y,US GBond 5Y,US GBond 10Y,US GBond 30Y,Chile GBond 10Y,S&P CLX IPSA
2015-01-10,0.116492,0.000414,0.001633,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,11.87000,90.61000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2044.810059,17.549999,8459.700195,103.6223,63.8868,32.1763,239.62,46.0551,281.52,22.7488,69.8569,48.36,50.11,0.018,0.076,0.203,0.577,1.442,0.577,2.555,4.29,3783.06
2015-01-11,0.116492,0.000414,0.001633,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,19.88000,110.37000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2044.810059,17.549999,8459.700195,103.6223,63.8868,32.1763,239.62,46.0551,281.52,22.7488,69.8569,48.36,50.11,0.0203,0.0761,0.2007,0.577,1.4222,0.577,2.532,4.29,3783.06
2015-01-12,0.116735,0.000414,0.001628,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,11.86000,99.54000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2028.26001,19.6,8201.700195,101.895,62.8825,32.1853,231.37,44.5783,278.56,22.3318,70.4691,46.07,47.43,0.015,0.081,0.188,0.553,1.39,0.553,2.492,4.26,3779.32
2015-01-13,0.116481,0.000421,0.001624,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,8.98000,68.71000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2023.030029,20.559999,8226.5,101.2909,61.9766,31.8732,228.64,44.4962,270.23,22.3571,70.3985,45.89,46.59,0.02,0.086,0.185,0.533,1.359,0.533,2.481,4.23,3786.57
2015-01-14,0.116456,0.000412,0.001612,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,7.20000,82.58000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2011.27002,21.48,8425.200195,102.3496,61.8452,31.5923,229.83,44.8791,256.07,22.7235,70.4221,48.48,48.69,0.018,0.084,0.167,0.493,1.303,0.493,2.451,4.2,3749.1
2015-01-15,0.116442,0.000415,0.0016,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.54956,0.12,12.79000,88.27000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,1992.670044,22.389999,8473.200195,101.7177,61.6021,31.8687,225.67,45.1116,261.44,22.3192,70.0691,46.25,47.67,0.02,0.071,0.152,0.444,1.222,0.444,2.411,4.2,3729.39
2015-01-16,0.116402,0.000422,0.001599,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.13,15.58000,50.91000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2019.420044,20.950001,8659.0,103.3062,61.7817,32.8674,225.85,45.6586,267.47,21.6053,69.2453,48.69,50.17,0.018,0.071,0.16,0.48,1.285,0.48,2.437,4.2,3729.91
2015-01-17,0.116402,0.000422,0.001599,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.13,22.76000,78.80000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2019.420044,20.950001,8659.0,103.3062,61.7817,32.8674,225.85,45.6586,267.47,21.6053,69.2453,48.69,50.17,0.018,0.071,0.16,0.48,1.285,0.48,2.437,4.2,3729.91
2015-01-18,0.116402,0.000422,0.001599,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.13,28.66000,131.37000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2019.420044,20.950001,8659.0,103.3062,61.7817,32.8674,225.85,45.6586,267.47,21.6053,69.2453,48.69,50.17,0.018,0.071,0.16,0.48,1.285,0.48,2.437,4.2,3729.91
2015-01-19,0.116272,0.00043,0.001595,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.13,25.12000,72.54000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2019.420044,20.950001,8624.299805,103.3062,61.7817,32.8674,225.85,45.6586,267.47,21.6053,69.2453,48.69,48.84,0.0177,0.071,0.158,0.48,1.2588,0.48,2.426,4.18,3733.46
2015-01-20,0.116268,0.000421,0.001593,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.12,18.38000,74.06000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2022.550049,19.889999,8583.200195,101.4993,61.7877,32.8674,223.63,44.9065,265.12,20.7588,68.8454,46.39,47.99,0.008,0.063,0.16,0.487,1.291,0.487,2.399,4.15,3748.76
2015-01-21,0.116186,0.000421,0.001592,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.12,57.01000,43.82000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2032.119995,18.85,8673.799805,102.5472,61.6649,33.3667,223.97,44.3185,267.01,20.3735,67.1273,47.78,49.03,0.0127,0.076,0.162,0.503,1.336,0.503,2.438,4.16,3806.04
2015-01-22,0.116147,0.000422,0.001593,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.53399,0.12,30.68000,85.21000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2063.149902,16.4,8774.700195,101.5883,61.2257,33.2374,222.43,43.7168,263.53,20.2092,65.9269,46.31,48.52,0.015,0.076,0.162,0.523,1.38,0.523,2.47,4.15,3865.59
2015-01-23,0.116066,0.000419,0.001602,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.12,15.40000,82.90000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2051.820068,16.66,8737.599609,101.131,60.8304,32.5731,221.52,43.2109,255.66,20.5251,64.8443,45.59,48.79,0.015,0.071,0.157,0.499,1.324,0.499,2.393,4.13,3859.89
2015-01-24,0.116066,0.000419,0.001602,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.12,34.23000,75.04000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2051.820068,16.66,8737.599609,101.131,60.8304,32.5731,221.52,43.2109,255.66,20.5251,64.8443,45.59,48.79,0.015,0.071,0.157,0.499,1.324,0.499,2.393,4.13,3859.89
2015-01-25,0.116066,0.000419,0.001602,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.12,19.69000,87.69000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2051.820068,16.66,8737.599609,101.131,60.8304,32.5731,221.52,43.2109,255.66,20.5251,64.8443,45.59,48.79,0.0152,0.0735,0.1504,0.499,1.2787,0.499,2.355,4.13,3859.89
2015-01-26,0.115263,0.000427,0.001598,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.12,11.86000,54.50000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2057.090088,15.52,8808.799805,100.745,60.877,33.4514,223.97,42.4998,259.91,20.4493,64.4207,45.15,48.16,0.02,0.068,0.157,0.523,1.349,0.523,2.399,4.15,3837.62
2015-01-27,0.115961,0.000427,0.001605,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.11,45.21000,55.58000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2029.550049,17.219999,9014.5,101.3211,60.676,32.9833,221.75,42.6229,251.68,21.2516,64.562,46.23,49.6,0.023,0.081,0.155,0.51,1.334,0.51,2.4,4.15,3852.71
2015-01-28,0.115953,0.00043,0.001607,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.12,14.93000,77.51000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2002.160034,20.440001,8772.5,100.2513,59.9992,32.8674,220.95,41.4879,253.42,21.1884,63.903,44.45,48.47,0.02,0.076,0.157,0.478,1.244,0.478,2.297,4.14,3845.37
2015-01-29,0.115914,0.000415,0.001608,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52484,0.11,6.40000,32.14000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2021.25,18.76,8485.299805,98.7629,59.4696,32.3101,220.49,40.3939,250.55,20.2155,63.2205,44.53,49.13,0.008,0.066,0.152,0.52,1.275,0.52,2.319,4.16,3839.79
2015-01-30,0.11591,0.000421,0.001594,-1.741596,0.3836152,-63.917,0.246687,3.564208,6.156061,133.946,4.853826,5.305804,5.772446,197.863,4.607139,1.8,-0.52186,0.06,115.71000,65.15000,236.252,,844.968802,330.866966,97.5149132444138,6.59081598028264,1163.92627,766.241599,96.3860336107032,9.56295993256595,1906.109474,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,1994.98999,20.969999,8490.5,100.8413,59.2145,33.1304,218.84,41.023,254.95,20.4556,63.3852,48.24,52.99,0.005,0.051,0.147,0.472,1.19,0.472,2.258,4.15,3836.73
2015-01-31,0.11591,0.000421,0.001594,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52186,0.06,67.26000,82.50000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,1994.98999,20.969999,8490.5,100.8413,59.2145,33.1304,218.84,41.023,254.95,20.4556,63.3852,48.24,52.99,0.005,0.051,0.147,0.472,1.19,0.472,2.258,4.15,3836.73
2015-02-01,0.11591,0.000421,0.001594,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52186,0.06,9.71000,66.55000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,1994.98999,20.969999,8490.5,100.8413,59.2145,33.1304,218.84,41.023,254.95,20.4556,63.3852,48.24,52.99,0.0177,0.0507,0.1429,0.472,1.1709,0.472,2.231,4.15,3836.73
2015-02-02,0.116117,0.000416,0.001578,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52186,0.12,12.27000,79.45000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2020.849976,19.43,8490.5,101.3224,58.8079,33.2464,218.5,41.5836,254.49,20.5251,62.8911,49.57,54.75,0.005,0.041,0.15,0.468,1.185,0.468,2.254,4.14,3861.55
2015-02-03,0.115672,0.000424,0.001588,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52186,0.12,9.06000,65.60000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2050.030029,17.33,9022.299805,104.0163,60.5216,33.5718,224.76,42.1169,263.84,20.3103,63.3383,53.05,57.91,0.005,0.068,0.167,0.504,1.278,0.504,2.372,4.13,3915.34
2015-02-04,0.11564,0.000418,0.0016,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52186,0.11,7.33000,67.26000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2041.51001,18.33,8957.700195,101.6108,60.1328,33.3578,221.35,41.8297,264.81,20.8346,64.1151,48.45,54.16,0.015,0.061,0.198,0.512,1.289,0.512,2.387,4.15,3917.29
2015-02-05,0.115655,0.00042,0.001596,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52186,0.12,12.86000,115.17000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2062.52002,16.85,9101.799805,102.4819,60.7024,33.4916,223.45,43.3613,265.22,20.8157,64.5623,50.48,56.57,0.008,0.061,0.195,0.52,1.3,0.52,2.422,4.2,3931.16
2015-02-06,0.115599,0.00042,0.001604,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.7,-0.52514,0.11,23.26000,59.12000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2055.469971,17.290001,9008.599609,102.6488,60.729,33.2419,221.69,43.5117,264.25,21.081,65.3155,51.69,57.8,0.015,0.089,0.246,0.64,1.464,0.64,2.518,4.26,3951.17
2015-02-07,0.115599,0.00042,0.001604,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.8,-0.52514,0.11,22.89000,48.01000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2055.469971,17.290001,9008.599609,102.6488,60.729,33.2419,221.69,43.5117,264.25,21.081,65.3155,51.69,57.8,0.015,0.089,0.246,0.64,1.464,0.64,2.518,4.26,3951.17
2015-02-08,0.115599,0.00042,0.001604,-2.027406,0.7879478,-62.786,-0.1706318,3.206605,5.913758,128.128,4.727647,5.234011,5.12581,190.914,4.898279,1.8,-0.52514,0.11,29.83000,75.83000,234.747,,684.404054,362.779924,97.5802863706112,6.47491235764678,1172.263253,977.294418,97.0060368738783,8.96313771066714,1371.121282,17945280.6,5786444.6,156439076.0,792485.6,4.5,3.0,,2055.469971,17.290001,9008.599609,102.6488,60.729,33.2419,221.69,43.5117,264.25,21.081,65.3155,51.69,57.8,0.0152,0.0913,0.2459,0.64,1.4657,0.64,2.515,4.26,3951.17
