,GDP_United States 270-step difference,yield_spread_30Y_6M 30-step return,GDP_QoQ_diff_Chile_US 90-step difference,Imports in goods (value)_United States 30-step difference,yield_spread_Chile_US_10Y 30-step difference,BBG_Soybeans_Index 90-step return,BBG_Cocoa_Index 60-step difference,import_export_total_Chile 30-step difference,Consumer Price Index: All Items: Total: Total for Chile 30-step difference,BBG_Copper_Index 60-step difference,CLPUSD_wins
2022-07-17,233122.09999999776,-0.8157819770202256,-0.0030630591356558996,-0.7719999999999914,-0.2596000000000007,-0.11704882824837348,-3.907900000000005,-0.06871800000000405,1.2311938767169863,-85.90000000000003,0.001091
2022-07-18,233122.09999999776,-0.8081853575159055,-0.0030630591356558996,-0.7719999999999914,-0.12010000000000032,-0.09126256559398105,-3.4536999999999978,-0.06871800000000405,1.2311938767169863,-85.25999999999999,0.001091
2022-07-19,233122.09999999776,-0.8689583135504702,-0.0030630591356558996,-0.7719999999999914,-0.06910000000000105,-0.11888743537033586,-2.4724000000000004,-0.06871800000000405,1.2311938767169863,-89.47000000000003,0.0010902
2022-07-20,233122.09999999776,-0.8501605422761327,-0.0030630591356558996,-0.7719999999999914,-0.16600000000000037,-0.13703231424750395,-2.0257000000000005,-0.06871800000000405,1.2311938767169863,-86.42000000000002,0.0010876
2022-07-21,233122.09999999776,-0.8835395653530206,-0.0030630591356558996,-0.7719999999999914,-0.30920000000000014,-0.14120517044734504,-3.3733000000000004,-0.06871800000000405,1.2311938767169863,-88.80000000000001,0.0010814
2022-07-22,233122.09999999776,-0.9252136752136751,-0.0030630591356558996,-0.7719999999999914,-0.39129999999999976,-0.13179571663920908,-3.993400000000001,-0.06871800000000405,1.2311938767169863,-90.56,0.0010792
2022-07-23,233122.09999999776,-0.9164456233421749,-0.0030630591356558996,-0.7719999999999914,-0.43100000000000005,-0.13179571663920908,-3.7808000000000064,-0.06871800000000405,1.2311938767169863,-86.92000000000002,0.0010774
2022-07-24,233122.09999999776,-0.9379533678756479,-0.0030630591356558996,-0.7719999999999914,-0.4434999999999998,-0.12517158818834795,-3.0542000000000016,-0.06871800000000405,1.2311938767169863,-82.37,0.001077
2022-07-25,233122.09999999776,-0.8795336787564768,-0.0030630591356558996,-0.7719999999999914,-0.37999999999999945,-0.10319897632757535,-2.5985000000000014,-0.06871800000000405,1.2311938767169863,-82.32,0.001077
2022-07-26,233122.09999999776,-0.9607312119160462,-0.0030630591356558996,-0.7719999999999914,-0.3965000000000001,-0.08947301908252236,-2.046900000000001,-0.06871800000000405,1.2311938767169863,-83.91000000000003,0.001077
2022-07-27,233122.09999999776,-0.8980392156862748,-0.0030630591356558996,-0.7719999999999914,-0.5109999999999997,-0.06780306637463085,-2.993699999999997,-0.06871800000000405,1.2311938767169863,-79.82,0.001082
2022-07-28,233122.09999999776,-0.7408854166666663,-0.0030630591356558996,-0.7719999999999914,-0.5070000000000001,-0.04764625591213534,-3.7926999999999964,-0.06871800000000405,1.2311938767169863,-75.82999999999998,0.001099
2022-07-29,233122.09999999776,-0.8407460545193692,-0.0030630591356558996,-0.7719999999999914,-0.39599999999999946,-0.029140081896962045,-3.6625000000000014,-0.06871800000000405,1.2311938767169863,-66.94,0.001101
2022-07-30,233122.09999999776,-0.8200972447325775,-0.0030630591356558996,0.0,-0.29000000000000004,-0.029140081896962045,-4.396900000000002,0.0,0.0,-66.0,0.001101
2022-07-31,233122.09999999776,-0.7855072463768118,-0.0030630591356558996,-7.437000000000012,-0.2641,-0.005818489143154193,-4.998400000000004,-0.6202989999999993,1.8304475335260122,-68.92000000000002,0.001101
2022-08-01,233122.09999999776,-0.97584541062802,-0.0030630591356558996,-7.437000000000012,-0.1459999999999999,-0.03955524943422217,-3.8162999999999982,-0.6202989999999993,1.8304475335260122,-91.88,0.00111
2022-08-02,233122.09999999776,-0.9951690821256037,-0.0030630591356558996,-7.437000000000012,-0.005999999999999783,-0.05861450692746539,-3.450799999999994,-0.6202989999999993,1.8304475335260122,-86.77999999999997,0.001122
2022-08-03,233122.09999999776,-1.0186133085155886,-0.0030630591356558996,-7.437000000000012,-0.1344000000000003,-0.0736760074033187,-4.693899999999999,-0.6202989999999993,1.8304475335260122,-91.39999999999998,0.0011
2022-08-04,233122.09999999776,-0.9777777777777786,-0.0030630591356558996,-7.437000000000012,-0.14899999999999958,-0.02644246620507762,-3.2537999999999982,-0.6202989999999993,1.8304475335260122,-90.09999999999997,0.001098
2022-08-05,233122.09999999776,-0.9981238273921205,-0.0030630591356558996,-7.437000000000012,-0.11299999999999999,-0.03260797889878009,-4.591999999999999,-0.6202989999999993,1.8304475335260122,-80.44,0.001109
2022-08-06,233122.09999999776,-0.9983050847457631,-0.0030630591356558996,-7.437000000000012,-0.10299999999999976,-0.03260797889878009,-4.315300000000001,-0.6202989999999993,1.8304475335260122,-80.49000000000001,0.001109
2022-08-07,233122.09999999776,-0.9771929824561405,-0.0030630591356558996,-7.437000000000012,-0.17059999999999986,-0.010154510491869662,-3.9709999999999965,-0.6202989999999993,1.8304475335260122,-82.08999999999997,0.001109
2022-08-08,233122.09999999776,-1.1291866028708133,-0.0030630591356558996,-7.437000000000012,-0.21499999999999986,-0.020656299331609285,-2.646000000000001,-0.6202989999999993,1.8304475335260122,-72.60000000000002,0.00109
2022-08-09,233122.09999999776,-1.2318316343308122,-0.0030630591356558996,-7.437000000000012,-0.1772999999999998,-0.009552656104380275,-1.2653000000000034,-0.6202989999999993,1.8304475335260122,-65.12,0.001104
2022-08-10,233122.09999999776,-1.0280777537796983,-0.0030630591356558996,-7.437000000000012,-0.06600000000000028,-0.014548467274233645,-0.5418000000000021,-0.6202989999999993,1.8304475335260122,-59.49000000000001,0.001107
2022-08-11,233122.09999999776,-0.6476964769647702,-0.0030630591356558996,-7.437000000000012,0.1459999999999999,-0.020105235806158195,-0.27530000000000143,-0.6202989999999993,1.8304475335260122,-54.45999999999998,0.001127
2022-08-12,233122.09999999776,-0.5853658536585398,-0.0030630591356558996,-7.437000000000012,0.1629999999999998,-0.01624009354293876,-0.36649999999999494,-0.6202989999999993,1.8304475335260122,-50.360000000000014,0.001131
2022-08-13,233122.09999999776,-0.7166666666666686,-0.0030630591356558996,-7.437000000000012,0.262,-0.01624009354293876,-0.09489999999999554,-0.6202989999999993,1.8304475335260122,-45.69,0.001131
2022-08-14,233122.09999999776,-0.734070796460176,-0.0030630591356558996,-7.437000000000012,0.2417000000000007,-0.022179176755448005,-0.3078999999999965,-0.6202989999999993,1.8304475335260122,-46.28000000000003,0.001131
2022-08-15,233122.09999999776,-0.8982300884955747,-0.0030630591356558996,-7.437000000000012,0.1880000000000006,-0.0625617490518533,-0.15380000000000393,-0.6202989999999993,1.8304475335260122,-45.94999999999999,0.001143
2022-08-16,233122.09999999776,-1.0,-0.0030630591356558996,-7.437000000000012,0.2004999999999999,-0.0749067284188859,-1.9772999999999996,-0.6202989999999993,1.8304475335260122,-36.879999999999995,0.001136
