,Chicago Fed National Financial Conditions Index 7-step difference,BBG_Cocoa_Index 90-step difference,yield_spread_Chile_US_10Y 14-step return,US GBond 2Y 30-step return,S&P CLX IPSA 14-step difference,import_export_total_Chile 30-step return,BBG_Soybeans_Index 14-step return,BBG_Coffee_Index 30-step difference,yield_spread_30Y_6M 7-step return,Economic Policy Uncertainty Index for United States 60-step return,Consumer Price Index: All Items: Total: Total for Chile 30-step difference,import_export_total_US 60-step return,CLPUSD_wins
2019-07-28,0.0028399999999999537,0.972999999999999,-0.2258972554539055,0.07409534750143587,-87.31999999999971,-0.06358877345611258,-0.03275046989804642,-0.745000000000001,-0.1134674642015584,1.4032722042430779,0.05447760516499045,-0.0006888706862367977,0.0014352
2019-07-29,0.0028399999999999537,1.370899999999999,-0.21665490472829918,0.06260769672601962,-75.72000000000025,-0.06358877345611258,-0.017128027681660885,-0.6375000000000011,-0.03557312252964384,0.7106608969315498,0.05447760516499045,-0.0006888706862367977,0.001439
2019-07-30,0.0028399999999999537,2.2455,-0.21325648414985576,0.06145893164847793,-75.32999999999993,0.0,-0.010189739985945079,-0.7642000000000007,-0.06037735849056691,0.4757816640169583,0.0,-0.023823728161818103,0.001437
2019-07-31,0.0028399999999999537,0.19529999999999603,-0.2727272727272728,0.05651930609960831,-78.39000000000033,0.013975652116742676,-0.02109356587320299,-0.8986000000000001,-0.13131313131313116,0.05597129677088675,0.25059698375700634,-0.016927683420935757,0.001435
2019-08-01,0.0028399999999999537,-0.2710000000000008,-0.18233618233618232,-0.02436260623229458,-100.27999999999975,0.013975652116742676,-0.037535410764872434,-0.952300000000001,-0.22549019607843168,-0.06001627135615495,0.25059698375700634,-0.016927683420935757,0.001435
2019-08-02,0.009449999999999958,-0.4684000000000026,-0.15506329113924044,-0.02491506228765572,-167.4300000000003,0.013975652116742676,-0.055234907076070594,-1.1904000000000003,-0.24297188755020094,0.6114466099368652,0.25059698375700634,-0.016927683420935757,0.001435
2019-08-03,0.009449999999999958,-0.4684000000000026,-0.15506329113924044,-0.02491506228765572,-167.4300000000003,0.013975652116742676,-0.055234907076070594,-1.1904000000000003,-0.24297188755020094,0.27969348659003823,0.25059698375700634,-0.016927683420935757,0.001435
2019-08-04,0.009449999999999958,0.37590000000000146,-0.15506329113924044,-0.0806193272824346,-167.4300000000003,0.013975652116742676,-0.055234907076070594,-0.9946000000000002,-0.23737476998568774,-0.5993747413912004,0.25059698375700634,-0.016927683420935757,0.001435
2019-08-05,0.009449999999999958,0.9690999999999974,-0.02346278317152084,-0.1548318206086492,-251.69999999999982,0.013975652116742676,-0.04082947689063321,-1.1866000000000003,-0.37704918032786916,-0.395837881103107,0.25059698375700634,-0.016927683420935757,0.0014342
2019-08-06,0.009449999999999958,-0.3663999999999987,-0.08724279835390936,-0.13988254137746936,-219.76000000000022,0.013975652116742676,-0.04209228601620296,-1.0791000000000004,-0.46184738955823235,-0.6530443756449948,0.25059698375700634,-0.016927683420935757,0.001434
2019-08-07,0.009449999999999958,-1.6704000000000008,-0.02956081081081019,-0.16436170212765955,-158.26000000000022,0.013975652116742676,-0.045682906881645,-0.7295999999999996,-0.4139534883720931,-0.33792806375188456,0.25059698375700634,-0.016927683420935757,0.0014315999999999
2019-08-08,0.009449999999999958,-1.5354000000000028,-0.03615520282186946,-0.15118110236220472,-82.17000000000007,0.013975652116742676,-0.01863427290954134,-0.7713999999999999,-0.3189873417721517,-0.46463547334058763,0.25059698375700634,-0.016927683420935757,0.0014302
